Code_BV;PCT_RN;PCT_UG;PCT_ENS;PCT_LR;PCT_REC;PCT_EXG
1;20.45;36.16;27.43;4.49;0.75;0.5
2;17.85;29.17;35.56;6.24;0.44;0.44
3;22.88;31.46;29.81;5.5;1.1;1.1
4;25.73;38.86;20.34;3.66;1.08;1.4
5;23.85;40.81;21.55;4.77;1.24;0.53
6;24.35;34.2;23.14;3.97;0.35;2.59
7;14.36;29.79;34.71;10.77;1.06;0.27
8;13.77;30.6;33.11;9.54;0.93;0.66
9;24.97;35.36;23.62;4.32;1.08;0.81
10;19.89;17.03;43.09;12.11;0.57;0.0
11;23.88;37.53;21.96;4.48;0.43;1.07
12;22.78;39.26;18.74;5.17;1.29;0.97
13;27.38;34.1;20.16;6.07;0.0;1.15
14;15.77;33.83;30.64;5.09;0.9;1.4
15;17.53;36.05;30.1;6.84;0.77;0.55
16;17.86;49.92;30.53;0.0;0.0;1.22
17;20.75;40.91;20.86;5.36;0.58;0.82
18;24.41;43.77;16.15;3.45;1.23;0.99
19;24.02;45.07;17.27;4.18;0.27;1.62
20;29.53;39.17;19.29;3.35;0.0;0.59
21;29.96;52.72;15.93;0.0;0.0;1.26
22;35.94;42.3;20.29;0.0;0.0;1.47
23;33.22;27.99;19.39;3.71;0.51;2.02
24;33.99;28.95;18.42;2.19;1.54;0.88
25;24.15;48.68;24.91;0.0;0.0;1.32
26;22.76;45.95;30.16;0.0;0.0;0.57
27;36.39;38.37;23.27;0.0;0.0;0.74
28;35.65;34.82;15.6;3.34;0.97;1.39
29;34.96;32.46;18.07;2.73;0.36;1.31
30;26.66;31.12;23.39;5.45;1.39;1.29
31;26.27;39.63;19.35;4.76;0.61;2.61
32;22.73;43.49;15.82;6.43;0.66;0.99
33;26.81;45.51;25.95;0.0;0.0;1.11
34;16.11;29.56;34.9;8.93;0.74;0.09
35;26.0;35.47;19.58;5.62;0.8;2.25
36;42.03;27.05;17.39;4.03;0.81;1.13
37;11.2;76.27;10.13;0.0;0.0;2.13
38;17.52;74.92;4.23;0.0;0.0;2.42
39;40.4;35.53;11.17;1.72;0.86;3.15
40;26.26;29.33;26.82;5.59;0.84;1.4
41;14.49;70.43;13.04;0.0;0.0;1.45
42;16.76;66.67;12.34;0.0;0.0;3.68
43;24.62;58.79;13.23;0.0;0.0;3.18
44;25.73;57.65;4.56;0.98;0.65;1.3
45;26.55;23.78;31.76;4.23;1.14;1.3
46;23.54;55.59;19.58;0.0;0.0;0.93
47;24.67;30.4;27.86;5.73;0.88;0.88
48;26.19;53.62;18.8;0.0;0.0;0.77
49;25.74;60.41;10.48;0.0;0.0;2.98
50;34.66;38.66;24.79;0.0;0.0;1.47
51;26.04;31.7;29.24;5.9;0.98;0.98
52;20.87;34.29;29.93;4.47;1.03;1.03
53;16.18;29.31;36.49;9.16;1.83;0.15
54;24.32;27.82;28.46;9.7;1.27;0.48
55;26.96;34.97;21.41;4.08;0.65;0.49
56;19.94;37.94;26.05;6.27;0.48;0.96
57;22.86;53.04;22.5;0.0;0.0;1.07
58;17.61;35.22;27.55;7.3;1.51;0.75
59;22.45;43.04;19.96;5.2;0.83;1.46
60;25.19;45.96;15.19;3.85;0.77;1.54
61;36.33;49.61;12.11;0.0;0.0;1.37
62;32.51;44.51;20.08;0.0;0.0;2.28
63;25.2;35.25;22.54;4.51;0.82;1.02
64;36.54;41.2;20.15;0.0;0.0;2.11
65;30.12;35.8;17.7;5.15;0.66;1.19
66;30.86;36.8;18.15;3.63;0.66;1.65
67;24.01;26.36;32.3;8.17;0.74;0.5
68;23.73;34.03;24.08;7.16;0.35;0.7
69;20.36;64.0;7.27;2.91;0.36;0.0
70;46.13;34.86;8.8;0.35;0.35;3.52
71;40.04;28.29;15.3;3.91;0.53;2.49
72;52.0;24.0;14.67;0.0;0.0;9.33
73;30.66;31.98;19.52;4.67;1.2;2.16
